127.0.0.1 - - [18/Jun/2020:08:37:15 -0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Jun/2020:08:37:15 -0300] "GET /WebServlet/Servlet HTTP/1.1" 500 1226
0:0:0:0:0:0:0:1 - - [18/Jun/2020:08:37:15 -0300] "GET /favicon.ico HTTP/1.1" 404 762
192.168.1.6 - - [18/Jun/2020:08:38:24 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 11
192.168.1.6 - - [18/Jun/2020:08:38:33 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 29
192.168.1.6 - - [18/Jun/2020:08:38:33 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 16
192.168.1.6 - - [18/Jun/2020:08:38:33 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 16
192.168.1.6 - - [18/Jun/2020:08:38:33 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 777
192.168.1.6 - - [18/Jun/2020:08:38:33 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 2
192.168.1.6 - - [18/Jun/2020:08:38:33 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 2
192.168.1.6 - - [18/Jun/2020:08:38:33 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 2
192.168.1.6 - - [18/Jun/2020:08:38:33 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 2
192.168.1.6 - - [18/Jun/2020:08:38:33 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 2
192.168.1.6 - - [18/Jun/2020:08:38:33 -0300] "GET /WebServlet/Servlet?acao=1&cnpj=19.805.893/0001-70 HTTP/1.1" 200 15773
192.168.1.6 - - [18/Jun/2020:08:38:33 -0300] "GET /WebServlet/Servlet?acao=1&cnpj=12.820.572/0001-04 HTTP/1.1" 200 15773
192.168.1.6 - - [18/Jun/2020:08:38:33 -0300] "GET /WebServlet/Servlet?acao=1&cnpj=03.181.124/0001-09 HTTP/1.1" 200 15773
192.168.1.6 - - [18/Jun/2020:08:38:33 -0300] "GET /WebServlet/Servlet?acao=1&cnpj=07.395.770/0001-20 HTTP/1.1" 200 15773
192.168.1.6 - - [18/Jun/2020:08:38:33 -0300] "GET /WebServlet/Servlet?acao=1&cnpj=09.857.251/0001-61 HTTP/1.1" 200 15773
192.168.1.6 - - [18/Jun/2020:08:38:35 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 716
192.168.1.6 - - [18/Jun/2020:08:38:38 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [18/Jun/2020:08:38:39 -0300] "GET /WebServlet/Servlet?acao=1&cnpj=11.111.111/1111-11 HTTP/1.1" 200 95223
192.168.1.6 - - [18/Jun/2020:08:38:45 -0300] "POST /WebServlet/Servlet HTTP/1.1" 200 2
