127.0.0.1 - - [10/Jul/2020:08:35:19 -0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Jul/2020:08:35:20 -0300] "GET /WebServlet/WEB-INF/classes/view/Socket.java HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [10/Jul/2020:08:35:20 -0300] "GET /favicon.ico HTTP/1.1" 404 762
192.168.1.9 - - [10/Jul/2020:08:35:25 -0300] "GET /WebServlet/socket?user=undefined HTTP/1.1" 101 -
192.168.1.9 - - [10/Jul/2020:08:35:35 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 29
192.168.1.9 - - [10/Jul/2020:08:35:36 -0300] "POST /WebServlet/svMensagem HTTP/1.1" 200 16
192.168.1.9 - - [10/Jul/2020:08:35:36 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 16
192.168.1.9 - - [10/Jul/2020:08:35:36 -0300] "GET /WebServlet/socket?user=30.188.441/0001-20 HTTP/1.1" 101 -
192.168.1.9 - - [10/Jul/2020:08:35:36 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 857
192.168.1.9 - - [10/Jul/2020:08:35:36 -0300] "POST /WebServlet/svProdutos HTTP/1.1" 200 -
192.168.1.9 - - [10/Jul/2020:08:35:36 -0300] "POST /WebServlet/svProdutos HTTP/1.1" 200 -
192.168.1.9 - - [10/Jul/2020:08:35:36 -0300] "POST /WebServlet/svProdutos HTTP/1.1" 200 -
192.168.1.9 - - [10/Jul/2020:08:35:36 -0300] "POST /WebServlet/svProdutos HTTP/1.1" 200 -
192.168.1.9 - - [10/Jul/2020:08:35:36 -0300] "POST /WebServlet/svProdutos HTTP/1.1" 200 -
192.168.1.9 - - [10/Jul/2020:08:35:36 -0300] "GET /WebServlet/svEmpresa?cnpj=03.181.124/0001-09 HTTP/1.1" 200 15773
192.168.1.9 - - [10/Jul/2020:08:35:36 -0300] "GET /WebServlet/svEmpresa?cnpj=09.857.251/0001-61 HTTP/1.1" 200 15773
192.168.1.9 - - [10/Jul/2020:08:35:36 -0300] "GET /WebServlet/svEmpresa?cnpj=12.820.572/0001-04 HTTP/1.1" 200 15773
192.168.1.9 - - [10/Jul/2020:08:35:36 -0300] "GET /WebServlet/svEmpresa?cnpj=07.395.770/0001-20 HTTP/1.1" 200 15773
192.168.1.9 - - [10/Jul/2020:08:35:36 -0300] "GET /WebServlet/svEmpresa?cnpj=19.805.893/0001-70 HTTP/1.1" 200 15773
192.168.1.9 - - [10/Jul/2020:08:35:43 -0300] "POST /WebServlet/svEmpresa HTTP/1.1" 200 683
