127.0.0.1 - - [23/Jun/2020:08:51:18 -0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Jun/2020:08:51:19 -0300] "GET /eRelation/login.jsp HTTP/1.1" 200 3295
0:0:0:0:0:0:0:1 - - [23/Jun/2020:08:51:19 -0300] "GET /eRelation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:08:51:19 -0300] "GET /eRelation/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:08:51:19 -0300] "GET /eRelation/js/jquery.mask.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:08:51:19 -0300] "GET /eRelation/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:08:51:19 -0300] "GET /eRelation/js/jquery.validate.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:08:51:19 -0300] "GET /eRelation/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:08:51:19 -0300] "GET /eRelation/js/jquery.validation.pt-br.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:08:51:19 -0300] "GET /eRelation/js/script_forms.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:08:51:19 -0300] "GET /eRelation/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:08:51:19 -0300] "GET /eRelation/icons/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:08:51:19 -0300] "GET /eRelation/img/login.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:08:51:19 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [23/Jun/2020:08:51:20 -0300] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/Jun/2020:08:51:33 -0300] "GET /eRelation/login.jsp HTTP/1.1" 200 3295
0:0:0:0:0:0:0:1 - - [23/Jun/2020:08:51:34 -0300] "POST /eRelation/servlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [23/Jun/2020:08:51:40 -0300] "POST /eRelation/servlet HTTP/1.1" 302 -
