127.0.0.1 - - [14/Jul/2020:08:40:53 -0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:40:54 -0300] "GET /eRelation/login.jsp HTTP/1.1" 200 3144
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:40:54 -0300] "GET /eRelation/js/jquery.js HTTP/1.1" 200 282113
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:40:55 -0300] "GET /eRelation/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:40:55 -0300] "GET /eRelation/js/jquery.mask.min.js HTTP/1.1" 200 8327
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:40:55 -0300] "GET /eRelation/css/bootstrap.min.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:40:55 -0300] "GET /eRelation/js/jquery.validate.min.js HTTP/1.1" 200 23070
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:40:55 -0300] "GET /eRelation/js/jquery.validation.pt-br.js HTTP/1.1" 200 1416
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:40:55 -0300] "GET /eRelation/css/style.css HTTP/1.1" 200 37750
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:40:55 -0300] "GET /eRelation/js/script.js HTTP/1.1" 200 8431
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:40:55 -0300] "GET /eRelation/js/script_forms.js HTTP/1.1" 200 2187
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:40:55 -0300] "GET /eRelation/icons/logo.png HTTP/1.1" 200 10462
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:40:55 -0300] "GET /eRelation/img/login.png HTTP/1.1" 200 50694
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:40:55 -0300] "POST /eRelation/servlet HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:40:56 -0300] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:41:00 -0300] "GET /eRelation/index.html HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:41:01 -0300] "POST /eRelation/servlet HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:41:03 -0300] "GET /eRelation/index.html HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:41:04 -0300] "POST /eRelation/servlet HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:41:06 -0300] "GET /eRelation/index.jsp HTTP/1.1" 200 5372
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:41:06 -0300] "GET /eRelation/img/indexx.png HTTP/1.1" 200 229984
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:41:06 -0300] "GET /eRelation/img/icon.png HTTP/1.1" 200 119743
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:41:06 -0300] "GET /eRelation/img/img1.jpg HTTP/1.1" 200 431195
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:41:06 -0300] "POST /eRelation/servlet HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:41:11 -0300] "GET /eRelation/cadastro.jsp HTTP/1.1" 200 6095
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:41:11 -0300] "GET /eRelation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:41:11 -0300] "GET /eRelation/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:41:11 -0300] "GET /eRelation/js/jquery.mask.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:41:11 -0300] "GET /eRelation/js/jquery.validate.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:41:11 -0300] "GET /eRelation/js/jquery.validation.pt-br.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:41:11 -0300] "GET /eRelation/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:41:11 -0300] "GET /eRelation/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:41:11 -0300] "GET /eRelation/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:41:11 -0300] "GET /eRelation/js/script_forms.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:08:41:11 -0300] "GET /eRelation/icons/logo.png HTTP/1.1" 304 -
